application_date,permit_status,permit_type,event_category,event_sub_category,name_of_event,year_month_app,event_start_date,event_end_date,event_location_park,event_location_neighborhood,council_district,precinct,organization,attendance
,Cancelled,Special Event,Commercial,,American Express Game Day Event (01.16-1.17) - Occidental Park,S16JA002,01/16/2016 12:00:00 AM,01/17/2016 12:00:00 AM,Occidental Park,Pioneer Square,2,West,Momentum Worldwide,950.0
,Cancelled,Special Event,Commercial,,American Express Game Day Event (01.24) - Occidental Park,S16JA003,01/24/2016 12:00:00 AM,01/24/2016 12:00:00 AM,Occidental Park,Pioneer Square,2,West,Momentum Worldwide,950.0
11/25/2015 12:00:00 AM,Complete,Special Event,Free Speech,,2016 MLK March (Giddens),S16JA005,01/15/2016 12:00:00 AM,01/15/2016 12:00:00 AM,,Central District,3,East,Giddens School,300.0
12/09/2015 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Boat Show,S16JA010,01/29/2016 12:00:00 AM,02/06/2016 12:00:00 AM,,South Lake Union,3,West,Northwest Yacht Brokers Association,13280.0
12/18/2015 12:00:00 AM,Complete,Special Event,Free Speech,,Dr. Martin Luther King Jr. Birthday March (McDonald),S16JA011,01/15/2016 12:00:00 AM,01/15/2016 12:00:00 AM,,Lake City,6,North,McDonald International School,500.0
12/09/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Resolution Run Presented by Club Northwest,S16JA012,01/01/2016 12:00:00 AM,01/01/2016 12:00:00 AM,Magnuson Park,Sand Point,6,North,"Pro-Motion Events, Inc.",1825.0
,Complete,Special Event,Free Speech,,Annual Martin Luther King Jr. March and Symposium,S16JA013,01/16/2016 12:00:00 AM,01/16/2016 12:00:00 AM,Martin Luther King Jr Memorial Park,Mount Baker,2,South,Seattle Parks and Recreation,285.0
12/15/2015 12:00:00 AM,Complete,Special Event,Free Speech,,Orca K-8 School 2016 MLK March,S16JA026,01/15/2016 12:00:00 AM,01/15/2016 12:00:00 AM,,Columbia City,2,South,Orca K-8 School of Seattle Public Schools,650.0
12/18/2015 12:00:00 AM,Complete,Special Event,Free Speech,,Martin Luther King Jr. Committee 34th Annual March & Rally,S16JA030,01/18/2016 12:00:00 AM,01/18/2016 12:00:00 AM,,Multiple Neighborhoods,3;7,East;West,Martin Luther King Jr. Celebration Committee,5200.0
12/22/2015 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees Concert (1.22),S16JA034,01/22/2016 12:00:00 AM,01/22/2016 12:00:00 AM,,Downtown,7,West,Seattle Smphony/Benaroya Hall,285.0
12/28/2015 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boathouse,S16JA037,01/15/2016 12:00:00 AM,01/15/2016 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,60.0
01/04/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Ethiopian Churches Epiphany Celebration,S16JA045,01/23/2016 12:00:00 AM,01/23/2016 12:00:00 AM,,Mount Baker,2,South,Ethiopian Orthodox Tewanedo Church,4000.0
01/08/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Martin Luther King March (Roosevelt),S16JA048,01/14/2016 12:00:00 AM,01/14/2016 12:00:00 AM,,University District,4,North,"Black Student Union, Roosevelt High School",105.0
01/12/2016 12:00:00 AM,Cancelled,Special Event,Community,,First Hill Streetcar Launch,S16JA052,01/23/2016 12:00:00 AM,01/23/2016 12:00:00 AM,,Multiple Neighborhoods,7,East;West,Seattle Department of Transportation,220.0
01/14/2016 12:00:00 AM,Cancelled,Special Event,Free Speech,,Public Lands Are for All of Us Rally,S16JA055,01/19/2016 12:00:00 AM,01/19/2016 12:00:00 AM,,Downtown,7,West,Conservation Northwest,320.0
01/20/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boathouse (1.25),S16JA061,01/25/2016 12:00:00 AM,01/25/2016 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,60.0
01/21/2016 12:00:00 AM,Complete,Special Event,Commercial,,National Geographic Live! Student Matinees (1.25-26),S16JA084,01/25/2016 12:00:00 AM,01/26/2016 12:00:00 AM,,Downtown,7,West,Benaroya Hall,2600.0
01/22/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Open House (1.28),S16JA085,01/28/2016 12:00:00 AM,01/28/2016 12:00:00 AM,,Queen Anne,7,West,Butler Valet,60.0
01/22/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Open House (1.30),S16JA086,01/30/2016 12:00:00 AM,01/30/2016 12:00:00 AM,,Queen Anne,7,West,Butler Valet,60.0
01/26/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - UW Private Dinner Party,S16JA089,01/28/2016 12:00:00 AM,01/28/2016 12:00:00 AM,,Queen Anne,7,West,Butler Valet,50.0
11/04/2015 12:00:00 AM,Complete,Special Event,Commercial,,Beer Camp Across America - Pacific Northwest and Rocky Mountain Edition,S16JU014,06/11/2016 12:00:00 AM,06/11/2016 12:00:00 AM,Lake Union Park,Cascade,7,West,Sierra Nevada Brewing Co,3450.0
12/16/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Shore Run,S16JU029,06/12/2016 12:00:00 AM,06/12/2016 12:00:00 AM,,Multiple Neighborhoods,3,East;South,Orswell Events,3000.0
01/20/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,The Bush School 2016 Middle School Moving-Up Ceremony & Baccalaureate (6/9/16) & 2016 Graduation (6/10/16),S16JU059,06/09/2016 12:00:00 AM,06/10/2016 12:00:00 AM,,Madison Park,3,East,The Bush School,1150.0
