Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App.,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
07/13/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Greek Festival,S16OC393,10/07/2016 12:00:00 AM,10/09/2016 12:00:00 AM,,Montlake,3,North,St. Demetrios Greek Orthodox Church,4500
07/14/2016 12:00:00 AM,Complete,Special Event,Community,,Kawabe SummerFest!,S16AU394,08/28/2016 12:00:00 AM,08/28/2016 12:00:00 AM,,Central District,3,East,Kawabe Memorial House,500
07/14/2016 12:00:00 AM,Cancelled,Special Event,Athletic,Run/Walk,PAX 5K,S16SE395,09/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,,South Lake Union,3,West,Run for Good Racing Co. / Reed Pop,310
11/09/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Holy Names Academy,S16DE511,12/03/2016 12:00:00 AM,12/03/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,100
04/13/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Seafair Pirate Landing,S16JU247,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,Alki Beach,West Seattle,1,West,Seattle Seafair Pirates,3100
04/13/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Children's Health Fair,S16SE248,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,Cascade,7,West,Seattle Children's,1650
04/14/2016 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Obliteride,S16AU249,08/12/2016 12:00:00 AM,08/14/2016 12:00:00 AM,Gas Works Park,Cascade,1;2;3;4;6;7,North;West,Fred Hutchinson Cancer Research Center,5400
04/15/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,SummeRun&Walk,S16JY250,07/17/2016 12:00:00 AM,07/17/2016 12:00:00 AM,,First Hill,3,West,Swedish Medical Center Foundation,2950
04/18/2016 12:00:00 AM,Complete,Special Event,Free Speech,,International Workers Day March and Rally,S16MY251,05/01/2016 12:00:00 AM,05/01/2016 12:00:00 AM,Judkins Park,Central District,3,East,El -Comite - May 1st Action Coalition,550
04/18/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Seattle Dragon Boat Festival,S16JY252,07/30/2016 12:00:00 AM,07/30/2016 12:00:00 AM,,South Lake Union,7,West,Paddlepult,1600
04/22/2016 12:00:00 AM,Complete,Special Event,Commercial,,Festival of Fountains - (Street Use),S16JY253,07/22/2016 12:00:00 AM,07/22/2016 12:00:00 AM,,Queen Anne,7,West,Pacific Science Center,850
04/22/2016 12:00:00 AM,In Process,Special Event,Citywide,,Seafair Summer Fourth,S16JY254,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,Gas Works Park,Wallingford,4,North,Seafair,65020
04/22/2016 12:00:00 AM,Complete,Special Event,Community,,Seafair Milk Carton Derby,S16JY255,07/16/2016 12:00:00 AM,07/16/2016 12:00:00 AM,,Green Lake,6,North,Seafair,4150
04/22/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Swedish Seafair Triathlon,S16JY256,07/23/2016 12:00:00 AM,07/24/2016 12:00:00 AM,,Seward Park,2;3,South,Seafair,3350
04/22/2016 12:00:00 AM,In Process,Special Event,Citywide,,Torchlight Parade at Seafair,S16JY257,07/30/2016 12:00:00 AM,07/30/2016 12:00:00 AM,,Downtown,7,West,Seafair,251000
05/05/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Fremont Foundry,S16MY285,05/11/2016 12:00:00 AM,05/11/2016 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,100
05/05/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,Starbucks - Sounders Pride Party,S16JU286,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Sodo,2,South,Starbucks,875
08/09/2016 12:00:00 AM,Complete,Special Event,Community,,MBCC's Day in the Park Event,S16SE431,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Mount Baker,2,South,Mount Baker Community Club,350
10/04/2016 12:00:00 AM,Complete,Special Event,Community,,Magnolia Winterfest,S16NO488,11/26/2016 12:00:00 AM,11/26/2016 12:00:00 AM,,Magnolia,7,West,Magnolia Chamber of Commerce,530
10/04/2016 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,The Orca Half,S17SE006,09/24/2017 12:00:00 AM,09/24/2017 12:00:00 AM,,West Seattle,1,West,Orca Running,1000
10/05/2016 12:00:00 AM,Complete,Special Event,Community,,All Hands,S16NO489,11/03/2016 12:00:00 AM,11/03/2016 12:00:00 AM,,Multiple Neighborhoods,7,West,Spplus,2940
